|   # | Company                                    | Lane                                                 | Fit               |
|  46 | Phreesia                                   | patient intake / payments / access                   | Strong            |
|  47 | Cedar                                      | patient billing / payments                           | Strong            |
|  48 | Inbox Health                               | patient billing                                      | Strong            |
|  49 | PatientPay                                 | patient payments                                     | Strong            |
|  50 | InstaMed / J.P. Morgan Healthcare Payments | healthcare payments                                  | Strong            |
|  51 | Flywire Healthcare                         | patient payments                                     | Adjacent          |
|  52 | Rectangle Health                           | healthcare payments                                  | Adjacent          |
|  53 | athenahealth                               | EHR / RCM / practice management                      | Best              |
|  54 | NextGen Healthcare                         | EHR / PM / RCM                                       | Best              |
|  55 | eClinicalWorks                             | EHR / PM / RCM                                       | Strong            |
|  56 | Greenway Health                            | EHR / PM / RCM                                       | Best              |
|  57 | Tebra                                      | practice management / billing                        | Strong            |
|  58 | AdvancedMD                                 | EHR / PM / billing                                   | Strong            |
|  59 | CareCloud                                  | EHR / RCM / PM                                       | Strong            |
|  60 | ModMed                                     | specialty EHR / RCM                                  | Strong            |
|  61 | Veradigm                                   | EHR / payer-provider data                            | Strong            |
|  62 | Epic                                       | enterprise EHR / RCM                                 | Larger but useful |
|  63 | Oracle Health                              | enterprise EHR / RCM                                 | Larger but useful |
|  64 | MEDITECH                                   | hospital EHR                                         | Strong            |
|  65 | Altera Digital Health                      | EHR / clinical systems                               | Strong            |
|  66 | Netsmart                                   | post-acute / behavioral EHR                          | Strong            |
|  67 | PointClickCare                             | long-term care EHR / network                         | Strong            |
|  68 | WellSky                                    | post-acute / home health software                    | Strong            |
|  69 | MatrixCare                                 | post-acute EHR                                       | Strong            |
|  70 | WebPT                                      | rehab therapy software / billing                     | Strong            |
|  71 | Therapy Brands                             | behavioral health / therapy software                 | Strong            |
|  72 | RXNT                                       | EHR / eRx / billing                                  | Strong            |
|  73 | Elation Health                             | primary care EHR                                     | Strong            |
|  74 | Canvas Medical                             | EHR / developer platform                             | Strong            |
|  75 | Healthie                                   | EHR / patient engagement                             | Strong            |
|  76 | DrChrono                                   | EHR / practice management                            | Strong            |
|  77 | Kareo                                      | practice management / billing                        | Strong            |
|  78 | SimplePractice                             | practice management / billing                        | Adjacent          |
|  79 | Kareo/Tebra Billing                        | RCM / practice management                            | Strong            |
|  80 | CentralReach                               | autism/ABA practice software                         | Adjacent          |
|  81 | Relatient                                  | patient engagement / access                          | Strong            |
|  82 | Luma Health                                | patient access / scheduling                          | Strong            |
|  83 | Artera                                     | patient communications                               | Strong            |
|  84 | Get Well                                   | patient engagement                                   | Adjacent          |
|  85 | NRC Health                                 | patient experience analytics                         | Adjacent          |
|  86 | Press Ganey                                | patient experience / healthcare analytics            | Larger but useful |
|  87 | Surescripts                                | e-prescribing / clinical network                     | Best              |
|  88 | DrFirst                                    | eRx / medication management                          | Strong            |
|  89 | CoverMyMeds                                | prior auth / pharmacy access                         | Best              |
|  90 | RxBenefits                                 | pharmacy benefits / payer ops                        | Strong            |
|  91 | Capital Rx                                 | pharmacy benefits platform                           | Strong            |
|  92 | Navitus Health Solutions                   | PBM / payer ops                                      | Strong            |
|  93 | Omnicell                                   | pharmacy automation                                  | Adjacent          |
|  94 | Aidbox / Health Samurai                    | FHIR / interoperability                              | Strong            |
|  95 | Redox                                      | healthcare integration APIs                          | Best              |
|  96 | Zus Health                                 | healthcare data platform                             | Strong            |
|  97 | Particle Health                            | health data access                                   | Strong            |
|  98 | 1upHealth                                  | FHIR / payer data APIs                               | Best              |
|  99 | Ribbon Health                              | provider data APIs                                   | Strong            |
| 100 | b.well Connected Health                    | patient data / interoperability                      | Strong            |
